station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
158740,Malå-Brännan A,2,65.1522,18.5974,12/15/1995 0:00,10/1/2016 11:00,363
158750,Malå,2,65.1808,18.7431,11/1/1991 0:00,9/30/2016 23:59,320
158850,Storberg,2,65.5085,18.9505,1/1/1951 0:00,8/31/1995 23:59,453
158990,Abraur,2,65.9867,18.9236,2/1/1996 0:00,8/31/2016 23:59,370
159680,Saltmyran,2,65.4166,19.5,4/1/1963 0:00,8/31/1964 23:59,350
159770,Glommersträsk,2,65.278,19.6673,10/1/1993 0:00,9/30/2016 23:59,395
159880,Arvidsjaur A,2,65.5953,19.2682,2/1/1996 0:00,10/1/2016 11:00,382
159970,Suddesjaur,2,65.8952,19.0929,1/1/1951 0:00,6/30/1991 23:59,342
160740,Fällfors,2,65.1317,20.7891,11/1/1959 0:00,12/31/1995 23:59,195
160750,Fällfors Mo,2,65.1089,20.7652,5/1/1996 0:00,6/30/2005 23:59,195
160790,Myrheden,2,65.2984,20.2124,1/1/1955 0:00,6/30/1984 23:59,250
160800,Fagerheden,2,65.3373,20.9026,12/1/1950 0:00,12/31/1950 23:59,220
160890,Älvsbyn M,2,65.6935,20.9858,3/1/1972 0:00,4/30/1995 23:59,47
160960,Vidsel,2,65.8801,20.1315,3/1/1965 0:00,8/31/2016 23:59,180
160970,Vidsel Mo,2,65.8769,20.1543,5/1/1996 0:00,10/1/2016 11:00,182
161650,Hednoret,2,65.8333,21.55,1/1/1961 0:00,6/30/1963 23:59,27
161660,Brännbergs försöksgård,2,65.8,21.2666,1/1/1962 0:00,9/30/1962 23:59,88
161670,Rönnskär,2,65.0333,21.5666,1/1/1951 0:00,8/31/1969 23:59,5
161680,Sunderbyn,2,65.7,21.85,1/1/1961 0:00,12/31/1968 23:59,20
161710,Pite-Rönnskär A,2,65.035,21.5655,12/15/1995 0:00,10/1/2016 11:00,4
161770,Pitsund,2,65.23,21.52,9/1/1964 0:00,6/30/1972 23:59,8
161780,Haraholmen,2,65.2391,21.6317,9/1/1973 0:00,7/31/1988 23:59,4
161790,Piteå,2,65.3156,21.4907,1/1/1961 0:00,6/30/1998 23:59,6
161890,Älvsbyn M,2,65.68,20.97,5/1/1966 0:00,12/31/1968 23:59,50
161910,Älvsbyn A,2,65.6702,21.0662,10/18/1995 0:00,10/1/2016 11:00,40
161920,Sävast V,2,65.75272,21.76498,12/1/2010 0:00,10/1/2016 11:00,9
161940,Boden Mo,2,65.8151,21.6396,3/1/2010 0:00,10/1/2016 11:00,25
162790,Rödkallen A,2,65.3131,22.3753,4/1/1996 0:00,10/1/2016 11:00,1
162800,Farstugrunden Aut,2,65.33,22.75,2/1/1981 0:00,12/21/1995 23:59,1
162860,Luleå Flygplats,2,65.5434,22.1193,1/1/1951 0:00,10/1/2016 11:00,17
162870,Luleå-Bergnäset,2,65.5762,22.109,9/16/2002 0:00,9/30/2016 23:59,12
162880,Luleå,2,65.62,22.1307,1/1/1961 0:00,6/30/1988 23:59,5
162970,Högsön,2,65.8849,22.3961,1/1/1961 0:00,8/31/1981 23:59,8
162980,Orrbyn,2,65.9446,22.116,10/1/1997 0:00,7/1/2011 23:59,15
163680,Björkfors,2,65.9166,23.4666,12/1/1945 0:00,6/30/1963 23:59,10
163690,Kalix,2,65.85,23.2,1/1/1951 0:00,10/31/1969 23:59,6
163900,Storön A,2,65.6982,23.1005,1/1/1996 0:00,10/1/2016 11:00,4
163920,Storöhamn,2,65.7306,23.0924,12/1/1969 0:00,12/31/1995 23:59,7
163950,Haparanda,2,65.8367,24.113,7/1/2009 0:00,1/1/2013 23:59,5
163960,Haparanda A,2,65.8249,24.1162,11/1/2008 0:00,10/1/2016 11:00,16
166810,Jäckvik,2,66.3824,16.9959,1/1/1961 0:00,9/30/1986 23:59,430
166870,Vuoggatjålme,2,66.5759,16.3511,1/1/1965 0:00,12/31/1995 23:59,500
166900,Mierkenies,2,66.6798,16.1137,1/1/1990 0:00,10/31/1996 23:59,600
166910,Mierkenis A,2,66.6815,16.1088,11/1/1996 0:00,10/1/2016 11:00,614
166940,Lillviken-Roparudden V,2,66.48603,16.41734,4/1/1996 0:00,10/1/2016 11:00,483
167710,Arjeplog A,2,66.0456,17.8671,1/1/1961 0:00,10/31/1989 23:59,430
167730,Laisvallsby,2,66.1347,17.1748,10/1/1973 0:00,6/30/1982 23:59,460
167800,Jäkkvik V,2,66.32417,17.09442,12/1/2010 0:00,10/1/2016 11:00,552
167860,Stenudden,2,66.5343,17.6677,10/1/1965 0:00,1/31/1990 23:59,453
167980,Kvikkjokk-Årrenjarka,2,66.8876,18.0179,6/1/1997 0:00,3/31/2013 23:59,314
167990,Kvikkjokk-Årrenjarka A,2,66.8888,18.0234,11/1/2008 0:00,10/1/2016 11:00,320
168910,Karats,2,66.6932,18.8146,2/1/1974 0:00,7/31/1974 23:59,414
169790,Tjåkaape Mo,2,66.3002,19.2,5/1/2006 0:00,10/1/2016 11:00,581
169860,Vajmat V,2,66.50502,19.67495,3/1/1996 0:00,10/1/2016 11:00,325
169880,Jokkmokk,2,66.6135,19.8316,1/1/2010 0:00,9/30/2016 23:59,240
169930,Randijaur,2,66.761,19.3168,1/1/1967 0:00,2/28/1973 23:59,290
170670,Harads,2,66.0833,20.9666,1/1/1965 0:00,4/30/1970 23:59,35
170680,Sarkavara,2,66.7374,20.3605,1/1/1962 0:00,8/31/1963 23:59,385
